1;Budapest
2;Fejér megye
3;Jász-Nagykun-Szolnok megye
4;Baranya megye
5;Heves megye
6;Borsod-Abaúj-Zemplén megye
7;Győr-Moson-Sopron megye
8;Pest megye
9;Vas megye
10;Veszprém megye
11;Szabolcs-Szatmár-Bereg megye
12;Komárom-Esztergom megye
13;Bács-Kiskun megye
14;Csongrád megye
15;Zala megye
16;Békés megye
17;Somogy megye
18;Tolna megye
19;Nógrád megye
20;Hajdú-Bihar megye
